chunk_id,row,col,snr,floor_frac,s2_floor,s2_plateau,flux_mad_std,a1,a2,a3,a1_ratio,alpha,beta,var_inf,chi2_dof,fit_success
41,2000,2000,2.24483,0.165583,0.108829,0.657247,0.581041,4.73219818933532,2.2565778446369373,0.7850041594546748,7.3940596708364374,0.201033474732925,9.999999999999998,1.0361897123222878,0.6809701683855265,True
40,2000,1600,2.28407,0.160849,0.109861,0.683003,0.595636,0.6729998730450389,0.12956097649857334,0.07824814704627076,1.0515623016328732,0.28237684467303786,2.982759422304432,0.7000902871129413,0.23575872151806537,True
90,3200,5200,2.31281,0.157502,0.117764,0.747696,0.698428,6.807284044913275,2.2201040251913047,0.861768759021591,10.636381320176993,0.212668618967,9.99999984726989,1.1304009331715354,0.4678549989792265,True
36,1600,5200,2.31831,0.156874,0.0885477,0.564452,0.524513,3.1648107394090506,0.5967747035667323,0.28583453165792644,4.945016780326641,0.2631020591491753,9.999999998077953,0.6477737046395504,0.2829087339859523,True
102,3600,5200,2.44065,0.143744,0.117213,0.81543,0.721811,4.845808337705785,2.559618306083409,0.9742839936030048,7.5715755276652885,0.3361071374262094,9.99999990233033,1.3871990265700274,0.8437556172188505,True
34,1600,4400,2.4462,0.143187,0.0784476,0.547868,0.5776,4.8035128692143285,3.3282692607604276,1.1478212468085405,7.505488858147388,0.3014711477925678,9.99999999999847,0.9332665369885662,0.24124363765441084,True
13,800,4400,2.46815,0.141009,0.102833,0.729266,0.60187,0.6503038017593377,0.5415805948232939,0.20445256600608183,1.0160996902489652,0.2605710247662384,9.999999999999998,0.8560756414801097,0.6165048411063386,True
39,2000,1200,2.49114,0.138778,0.0939982,0.677328,0.645428,3.504206051890179,2.4560634224006064,0.9460942842548318,5.475321956078405,0.34107469052183265,9.999999999872832,1.3224022088654657,0.6780428202978812,True
17,1200,2000,2.69985,0.120639,0.108836,0.902161,0.614944,4.854389495949737,2.705603953676104,1.042649605133701,7.584983587421464,0.3629012837827899,9.999999999999998,1.9587266691402372,0.3597953283182673,True
33,1600,4000,2.706,0.120157,0.0861411,0.716904,0.655658,1.001004433265931,0.22964870209110197,0.17795437896771618,1.564069426978017,0.3507937123223932,9.999999999999993,0.7004323769533951,0.1510507651060714,True
30,1600,2800,2.71613,0.119369,0.108484,0.908806,0.64978,3.2673065741337686,1.2297939596247023,0.6789774840221339,5.105166522084013,0.30947799175615665,1.000000000000002,1.3879100417268868,0.10911543280536395,True
88,3200,4400,2.85049,0.109586,0.0958575,0.874727,0.727357,0.9074331597084765,0.39465604764923823,0.12008995868893743,1.4178643120444945,0.34638293704583634,1.1041237104636665,0.9854000487190622,0.2821107794174639,True
64,2400,5600,2.87758,0.107753,0.0847124,0.786172,0.585482,0.48818652849831196,0.10693374655386435,0.0624105460914705,0.7627914507786124,0.4413797643840358,1.026747977835428,0.8325081372526394,0.5598618448315124,True
27,1600,1600,2.92221,0.104829,0.0994305,0.948501,0.558352,0.9280223084781591,0.2943507621033278,0.1693274614563432,1.4500348569971235,0.3641931335513526,9.16703782945276,1.006721685914754,0.2977099129961873,True
