chunk,row,col,central_ok,converged,fit_stride,a1,a2a1,a3a2,alpha,beta,var_inf,rms,se_a2a1,se_a3a2,se_a1,n_ok,wall_s,alpha_bad,ratio_bad,degen
r400_c1600,400,1600,True,False,2,8.321499245694888,0.3624444603055337,0.05263216357901134,0.09310055739065365,9.999999999999972,0.429602567122228,1.1650710417765475,0.40753955842127676,0.010953224641618374,12.92636257160772,4,676.8674178123474,False,False,True
r400_c2000,400,2000,True,True,2,15.811477240505694,0.07881852439616657,0.04410043799998585,0.060564401803835766,9.999999999999998,0.3940216099133618,1.5463985533593974,0.10736873026283984,0.04126363868125115,131.4053147267623,4,335.8382692337036,False,False,False
r400_c2400,400,2400,True,True,2,14.237958857561967,0.5906323114647063,0.047737791779553826,0.047268141441452034,9.999999999999998,0.3885298645031656,0.7125152933969076,0.20690105053655897,0.03988123759006669,2.007447226773993,4,283.916139125824,False,False,False
r400_c2800,400,2800,True,True,2,9.879907369516003,0.7594769497269165,0.05596687409080971,0.03132832624537519,9.999999999993701,0.33937751990022264,0.5168315856914751,0.5386695109665737,0.07046001524731499,104.72417430899941,4,315.98910999298096,False,False,False
r400_c3200,400,3200,True,True,2,14.011562045677529,0.4644164128424214,0.11128053377887887,0.05927705314085544,9.999999999999998,0.4215050735914115,1.1842549087802368,0.4394021482780519,0.023386683100130846,17.062893132628776,4,166.4942603111267,False,False,False
r400_c3600,400,3600,True,False,2,6.337917833584857,0.20902341408191585,0.10771218687678048,0.07787671332429882,9.99999999999993,0.48128088058677126,1.7956599731209062,0.06593731985313919,0.05988147766811699,1.7668860787379612,4,1237.459498167038,False,False,True
r4400_c3600,4400,3600,True,True,2,8.732644041221297,0.3337194060920399,0.3402718656013384,0.08783792152718105,9.999999999999998,0.5409301721224565,1.616786502216241,0.21035610292685905,0.3239872532503269,7.068834258433777,4,46.3778350353241,False,False,False
r4400_c4000,4400,4000,True,True,2,4.41058969310558,0.8301248250972552,0.2691234458681033,0.07415118389316323,9.999999999993923,0.5032188634939241,1.2011523816316225,0.5890265691774523,0.2278620926314241,36.693585550062174,4,38.36698389053345,False,False,False
r4400_c4400,4400,4400,True,True,2,3.8164000309804553,0.419776101843737,0.6692971943658678,0.046080426084207024,9.999999987459793,0.4121293783141824,0.7766026374038142,0.3375330819762018,0.4212724501584675,3.05423673157208,4,37.5517098903656,False,False,False
r4400_c4800,4400,4800,True,True,2,111.02083836252204,0.09009236661783178,1.0889219655829075e-53,0.0162777570264549,1.0,0.46887008359975096,1.2242083519175035,0.4464422081682696,1.0234502184751826e-06,361.5070956557191,4,39.799320936203,False,True,True
r800_c1600,800,1600,True,True,2,26.046224672216905,0.08222471761936513,0.01744931912097525,0.0506376479798416,9.999999999999998,0.37084255324753984,1.2246193907728284,0.07565721666112647,0.01120374948618331,54.75699434178258,4,279.4491319656372,False,False,False
